,Brand,model,Year,Age,kmDriven,Transmission,Owner,FuelType,Price
6759,Maruti Suzuki,Wagon-R,2014.0,10.0,73000.0,Manual,second,Hybrid/CNG,355000.0
6760,Maruti Suzuki,Swift,2020.0,4.0,67850.0,Automatic,first,Hybrid/CNG,675000.0
6761,Hyundai,i10,2012.0,12.0,53000.0,Manual,second,Hybrid/CNG,275000.0
6762,Hyundai,Grand i10 Nios,2021.0,3.0,22000.0,Manual,first,Petrol,549000.0
6763,Renault,Duster,2016.0,8.0,82000.0,Manual,first,Diesel,575000.0
6764,Hyundai,Verna,2015.0,9.0,52000.0,Automatic,second,Hybrid/CNG,445000.0
6765,Chevrolet,Enjoy,2014.0,10.0,90000.0,Manual,second,Diesel,330000.0
6766,Volkswagen,VentoTest,2012.0,12.0,32000.0,Automatic,second,Petrol,450000.0
6767,Maruti Suzuki,Swift-Dzire,2016.0,8.0,95000.0,Manual,second,Petrol,510000.0
6768,Toyota,Fortuner,2013.0,11.0,150000.0,Automatic,second,Diesel,1390000.0
6769,Mahindra,Scorpio,2014.0,10.0,113000.0,Automatic,second,Diesel,795000.0
6770,Tata,Indigo Ecs,2012.0,12.0,98000.0,Manual,second,Petrol,145000.0
6771,Hyundai,Santro Xing,2008.0,16.0,89127.0,Manual,second,Hybrid/CNG,115000.0
6772,Maruti Suzuki,Swift-Dzire,2016.0,8.0,65000.0,Manual,second,Hybrid/CNG,335399.0
6773,Chevrolet,Enjoy,2013.0,11.0,136000.0,Manual,second,Diesel,440000.0
6774,BMW,3 Series,2015.0,9.0,70000.0,Automatic,first,Diesel,915000.0
